Series ID,Region Name,Region Code,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
KSPCPI,Kansas,20,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26238,26936,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39563,42716,45120,45962,46881,47343,47390,48883,51261,53426
KYPCPI,Kentucky,21,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34624,35754,35921,37585,39199,39754,40904,42338,43770
LAPCPI,Louisiana,22,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38706,40554,40912,42686,42900,42528,43932,46207,47460
MEPCPI,Maine,23,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24794,25892,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37910,39468,40287,40170,41826,43622,44832,46565,48792,50634
MDPCPI,Maryland,24,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31486,33124,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50007,52433,53547,53057,54696,57036,59011,60758,62708,64640
MAPCPI,Massachusetts,25,13013,14044,15739,16893,18152,19552,21358,22477,23118,23486,24628,25471,26607,27964,29545,31180,32914,34889,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53062,55302,57333,57377,59963,63618,65725,68442,71801,74187
MIPCPI,Michigan,26,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37509,39059,39362,41150,43477,44637,45948,47777,49228
MNPCPI,Minnesota,27,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29187,30318,32447,33454,33932,35263,37205,38111,39754,41720,43104,41015,42606,45349,47859,47943,50258,52355,53083,54960,57371,58834
MSPCPI,Mississippi,28,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32160,33308,33853,34547,35206,35672,36536,37852,38914
MOPCPI,Missouri,29,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38339,40131,40323,41775,43153,44318,45342,47109,48656
